(fecha alterna) Date Start,(Newspaper title country) Geometry,(Newspaper title country) Geometry - Split 1,(Newspaper title country) Geometry - Split 2,Id,Id (group),Idioma periódico,lat,lon,latlon,Page,Periódico,Publicador,Tema persona,Type,Calculation1,Frequency,Periódico - Object ID,Tema Abolition,Tema slavery
1/24/1872,"-98.5, 39.75999832",-98.5,39.75999832,onm_v2_0001,O Novo Mundo,es,40.7142716,-74.005966,"40.7142716, -74.005966",V2.58,La América Ilustrada,,Bartolomé Mitre,translation,1,1,11016256,0,0
1/24/1872,"-98.5, 39.75999832",-98.5,39.75999832,onm_v2_0002,O Novo Mundo,en,40.7142716,-74.005966,"40.7142716, -74.005966",V2.58,New York Tribune,Horace Greeley,Horace Greeley,mention,1,1,11016284,0,0
1/24/1872,"-98.5, 39.75999832",-98.5,39.75999832,onm_v2_0003,O Novo Mundo,en,40.7142716,-74.005966,"40.7142716, -74.005966",V2.58,The Nation,Joseph H. Richards | Edwin Lawrence Godkin,,reference,1,1,11016338,0,0
1/24/1872,"-98.5, 39.75999832",-98.5,39.75999832,onm_v2_0004,O Novo Mundo,es,40.7142716,-74.005966,"40.7142716, -74.005966",v2.59,La América Ilustrada,Juan Ignacio de Armas y Céspedes,,translation,1,1,11016256,0,0
1/24/1872,"-55.0, -10.0",-55,-10,onm_v2_0005,O Novo Mundo,pt,-22.902781,-43.2075,"-22.902781, -43.2075",v2.59,(Um pamphleto de Sr. Luiz Guimaraes Junior sobre a vida de um pintor nacional),,Luiz Guimaraes Junior,reference,1,1,11016347,1,1
1/24/1872,"-55.0, -10.0",-55,-10,onm_v2_0006,O Novo Mundo,pt,-22.902781,-43.2075,"-22.902781, -43.2075",v2.61,Correio Mercantil,,Pedro Américo,mention,1,1,11016218,0,0
1/24/1872,"-55.0, -10.0",-55,-10,onm_v2_0007,O Novo Mundo,pt,-22.902781,-43.2075,"-22.902781, -43.2075",v2.60,Perfil Biográfico. Pedro Américo,Henrique Brow e João de Almeida Editores,Pedro Américo,reprint,1,1,11016307,0,0
1/24/1872,"-98.5, 39.75999832",-98.5,39.75999832,onm_v2_0008,O Novo Mundo,es,40.7142716,-74.005966,"40.7142716, -74.005966",v2.62,La América Ilustrada,Juan Ignacio de Armas y Céspedes,,translation,1,1,11016256,1,1
1/24/1872,"-79.5, 22.0",-79.5,22,onm_v2_0009,O Novo Mundo,es,23.1330204,-82.383041,"23.1330204, -82.383041",v2.62,Diario de la Marina,Juan Ignacio de Armas y Céspedes,,translation,3,3,11016229,1,1
1/24/1872,"-55.0, -10.0",-55,-10,onm_v2_0010,O Novo Mundo,pt,-3.7172201,-38.54306,"-3.7172201, -38.54306",v2.62,Cearense,,,reference,1,1,11016211,0,0
